"","mse","rmse","opt_para"
"1",6448570282468.47,2539403.52887612,20000
"2",6704578272214.39,2589320.04051534,50000
"3",6383869947621.41,2526632.13539712,40000
"4",6528010424139.24,2554997.14757947,20000
"5",6349656774184.3,2519852.53024543,30000
"6",7179309800787.57,2679423.40827044,30000
"7",6497580677723.93,2549035.24450407,20000
"8",6945801883129.82,2635488.92677048,30000
"9",6248769807159.24,2499753.94932366,20000
"10",6966858352848.25,2639480.69757069,40000
"11",6638246238212.98,2576479.42708902,40000
"12",6511860613496.26,2551834.7543476,40000
"13",7589461853187.85,2754897.79360103,50000
"14",6808592107777,2609327.90346039,40000
"15",6357021205851.38,2521313.38905963,10000
"16",6414926687299.39,2532770.55559705,20000
"17",6418632288621.04,2533501.98117567,50000
"18",5992094157456.9,2447875.43748797,20000
"19",6538264667588.85,2557003.06366435,30000
"20",5921092228490.85,2433329.45333978,50000
"21",6937109956974.7,2633839.39468121,40000
"22",6478753366171.94,2545339.53848439,10000
"23",6202380888857.98,2490457.9676955,30000
"24",6294563099662.79,2508896.78936037,40000
"25",7250985893338.56,2692765.47314068,40000
"26",6566285161317.33,2562476.37283104,10000
"27",6360096627514.58,2521923.20016185,50000
"28",5796502972583.12,2407592.77548823,40000
"29",6424626854340.41,2534684.76429327,20000
"30",6529158395949.63,2555221.78997238,30000
"31",6145369990361.08,2478985.67772407,50000
"32",7554766393328.35,2748593.53003101,40000
"33",6944864995091.5,2635311.17614059,50000
"34",7370330914739.05,2714835.33842092,10000
"35",6698227474011.59,2588093.40519456,50000
"36",6837434504189.25,2614848.8492051,50000
"37",6873516540601.7,2621739.22055602,10000
"38",7175458053187.27,2678704.54757281,50000
"39",6001239729947.18,2449742.78852846,30000
"40",6162631997475.97,2482464.90357386,20000
"41",6510948138709.93,2551655.96009923,10000
"42",6438713304350.61,2537461.98086801,40000
"43",6778576057859.94,2603569.86805808,40000
"44",6236473344570,2497293.20356461,50000
"45",6783549025777,2604524.72166747,30000
"46",6539931126207.22,2557328.90458134,50000
"47",6173206883050.93,2484593.90707031,50000
"48",6862989710451.48,2619730.84694811,30000
"49",6565749924590.27,2562371.93330521,30000
"50",6259134832170.81,2501826.29936029,10000
"51",6658967330938.38,2580497.49678979,20000
"52",6804973551565.02,2608634.42275169,20000
"53",7583326419454.47,2753784.01830181,30000
"54",6445504968387.35,2538799.90711898,10000
"55",6521025793828.52,2553629.92499472,10000
"56",6695151154263.5,2587499.01531643,20000
"57",6079723412113.85,2465709.51494977,40000
"58",6266265847224.47,2503251.05557243,10000
"59",6723595292631.05,2592989.643757,50000
"60",6210302307687.54,2492047.81408534,30000
"61",6885678726039.31,2624057.68344358,50000
"62",7256551021570.41,2693798.62305452,50000
"63",6805544367737.88,2608743.82945851,20000
"64",6288989339677.06,2507785.74437233,10000
"65",6619134738614.78,2572767.9138653,30000
"66",6139763882198.8,2477854.69351994,30000
"67",7221795204368.13,2687339.80068917,50000
"68",6359705661018.59,2521845.68540952,20000
"69",5806333359108.1,2409633.44911796,10000
"70",7045089191827.7,2654258.68969618,40000
"71",6339949451046.54,2517925.62460581,50000
"72",7180591446228.71,2679662.56200827,50000
"73",6351278065698.92,2520174.21336282,40000
"74",6955435679174.81,2637315.99911251,10000
"75",7679131251460.88,2771124.54636396,40000
"76",6848525390248.92,2616968.74078559,30000
"77",6414997211635.73,2532784.47792854,40000
"78",6159393602157.32,2481812.56386483,40000
"79",7225869642844.01,2688097.77404841,20000
"80",6769219073234.87,2601772.2946551,10000
"81",6677245881604.03,2584036.74153523,20000
"82",7172223144406.12,2678100.65987187,40000
"83",6152145482429.12,2480351.88681548,30000
"84",7564732579445.67,2750405.8935811,20000
"85",6358537452380.33,2521614.0569842,30000
"86",6650747682532.1,2578904.35699584,40000
"87",6321080361260.37,2514175.88113091,10000
"88",6710306023097.19,2590425.83817742,50000
"89",6842862432795.46,2615886.54815064,20000
"90",7124196684835.92,2669119.08404925,40000
"91",6505648113402.56,2550617.20244386,50000
"92",6725166905367.34,2593292.67638023,50000
"93",6092851174124.4,2468370.145283,10000
"94",7038848560530.62,2653082.84087222,50000
"95",6794828036179.45,2606689.09465234,10000
"96",6694261216818.95,2587327.04094765,30000
"97",6881772560287.36,2623313.27909713,30000
"98",6997396751269.3,2645259.29754898,30000
"99",6584956950005.75,2566117.0959264,30000
"100",6498166917465.07,2549150.23438499,30000
