"","X","MSE","MAE","L1","L2","nleaf"
"1",1,4258921512434.95,2063715.46305079,1e+07,7500,7
"2",2,4496811158623.21,2120568.59323701,2e+06,2500,7
"3",3,4086319537537.06,2021464.70103662,5e+06,2500,12
"4",4,4189099340792.77,2046728.93681425,5e+07,7500,12
"5",5,4499425627076.6,2121184.95824306,1e+07,5000,12
"6",6,4899326591451.67,2213442.24940514,2e+06,7500,12
"7",7,4553459022058.17,2133883.55400621,5e+06,2500,7
"8",8,4717405058702.53,2171958.80686134,2e+06,7500,12
"9",9,4028415839438.25,2007091.38791393,1e+07,5000,12
"10",10,4971609667256.54,2229710.66895607,1e+07,2500,7
"11",11,4292574314229.75,2071852.86983168,1e+07,5000,12
"12",12,4436969766368.55,2106411.58522463,5e+06,7500,12
"13",13,5090739446383,2256266.7055078,5e+06,5000,12
"14",14,4668466385233.32,2160663.41322135,5e+06,7500,12
"15",15,4083124392940.97,2020674.24216299,1e+07,5000,12
"16",16,4574217043464.22,2138741.93007577,5e+07,2500,10
"17",17,4509277356088.22,2123505.91147946,5e+07,7500,12
"18",18,4306808423957.34,2075285.14280745,2e+06,2500,7
"19",19,4499683847997.67,2121245.82450919,1e+07,2500,12
"20",20,4323130491129.73,2079213.91182575,2e+06,7500,12
"21",21,4706121966922.53,2169359.80577739,1e+07,5000,12
"22",22,4349311502327.86,2085500.30024641,5e+06,7500,12
"23",23,4150899618986.39,2037375.66957751,1e+07,2500,10
"24",24,4382349210152.27,2093406.12642465,5e+07,7500,10
"25",25,4925413287384.37,2219327.2150326,2e+06,7500,10
"26",1,4800881815566.45,2191091.46672759,5e+07,5000,7
"27",2,4273146173914.08,2067158.96193643,2e+06,2500,10
"28",3,4249359443662.14,2061397.44922277,5e+06,5000,10
"29",4,4371411634832.1,2090792.10703315,2e+06,5000,10
"30",5,4281130857928.65,2069089.37891253,2e+06,7500,12
"31",6,3658240542754.66,1912652.7501757,2e+06,5000,7
"32",7,4808434964954.06,2192814.39363984,5e+06,2500,7
"33",8,4504133486777.34,2122294.39210901,5e+06,7500,7
"34",9,4678169385411.12,2162907.62294905,1e+07,2500,10
"35",10,4437633902784.28,2106569.225728,2e+06,2500,12
"36",11,4301899472153.37,2074102.08817053,1e+07,7500,10
"37",12,4695474834817.6,2166904.4360141,5e+06,7500,12
"38",13,4845220903445.18,2201186.24914958,5e+06,5000,12
"39",14,4051434272590.51,2012817.49609608,2e+06,5000,12
"40",15,4133491445551.85,2033098.97583759,5e+06,7500,12
"41",16,4768662347944.96,2183726.71091072,5e+07,2500,12
"42",17,4188550327378.41,2046594.81270192,2e+06,7500,12
"43",18,4221929568509.16,2054733.45437046,5e+06,2500,10
"44",19,4112913525229.45,2028031.93397674,5e+06,5000,12
"45",20,4418414290272.99,2102002.4477324,5e+07,2500,10
"46",21,4398275106484.82,2097206.5006777,5e+07,2500,12
"47",22,4302842338001.23,2074329.37066446,5e+06,2500,12
"48",23,4951212296495.53,2225131.97282668,1e+07,5000,12
"49",24,4273533189554,2067252.57033436,5e+07,7500,7
"50",25,4143605349266.85,2035584.76838152,1e+07,5000,7
"51",1,4330153894478.09,2080902.18282314,1e+07,2500,7
"52",2,4252962568460.44,2062271.21602869,1e+07,7500,12
"53",3,5259613979557.01,2293384.83023609,5e+05,7500,12
"54",4,4240316676610.15,2059202.92264025,5e+07,7500,10
"55",5,4922262428623.11,2218617.23346392,1e+07,5000,10
"56",6,4401501298185.61,2097975.52373368,5e+07,7500,12
"57",7,4459894399998.53,2111846.20652133,1e+07,5000,7
"58",8,4569959758148.44,2137746.42045039,1e+07,7500,12
"59",9,4640371188433.72,2154152.08108288,1e+07,2500,10
"60",10,4432479158745.33,2105345.37754387,2e+05,5000,10
"61",11,4841681819658.55,2200382.19854155,2e+05,2500,7
"62",12,4555553180538.66,2134374.18943789,1e+07,7500,12
"63",13,4921012412189.52,2218335.50487511,1e+07,5000,10
"64",14,4185477804471.88,2045844.03229373,5e+07,2500,7
"65",15,4099220478498.86,2024653.17486696,5e+07,5000,10
"66",16,4144844754587.22,2035889.1803306,5e+07,7500,12
"67",17,4561101960959.35,2135673.65506984,1e+07,2500,10
"68",18,4473559099132.4,2115078.9817717,2e+05,5000,12
"69",19,4148153345154.21,2036701.58470852,1e+07,5000,12
"70",20,5002391427849.12,2236602.65309892,2e+05,2500,10
"71",21,4499461499676.94,2121193.41401885,1e+07,7500,10
"72",22,4562952693166,2136106.90115593,2e+05,2500,12
"73",23,4472129561557,2114741.01524442,2e+05,2500,10
"74",24,4604204500582.81,2145741.01433114,5e+07,7500,7
"75",25,5225414983788.34,2285916.66160172,1e+07,7500,7
"76",1,5025636506229.11,2241793.14528105,5e+07,5000,12
"77",2,4424974876486.91,2103562.42514619,5e+06,5000,7
"78",3,4349862506455.82,2085632.39964664,1e+07,7500,7
"79",4,4707683083066.57,2169719.58627528,5e+06,5000,10
"80",5,4500170845022.28,2121360.61173537,1e+07,2500,10
"81",6,4893100614570.03,2212035.40084015,5e+06,5000,7
"82",7,5107541843394.51,2259987.13345773,5e+06,7500,12
"83",8,4099065925947.76,2024615.00684643,2e+06,2500,10
"84",9,4870482787483.36,2206917.03230624,1e+07,7500,10
"85",10,4295195777695.93,2072485.41073175,1e+07,2500,12
"86",11,4393303003647.92,2096020.75458425,5e+06,5000,7
"87",12,4114843953804.07,2028507.81457801,5e+06,5000,7
"88",13,4318322147497.51,2078057.30130271,2e+06,2500,10
"89",14,4343843601870.89,2084188.95541429,2e+06,2500,7
"90",15,4889646873893.13,2211254.59273534,1e+07,5000,7
"91",16,4498314912432.54,2120923.12742177,1e+07,5000,10
"92",17,4487385623413.88,2118345.01991859,1e+07,5000,10
"93",18,3894705163625.44,1973500.7381872,1e+07,7500,10
"94",19,4787443283475.71,2188022.68806238,5e+06,5000,12
"95",20,4908532336996.92,2215520.78234372,5e+07,2500,7
"96",21,4550449047639.64,2133178.1565635,2e+06,5000,12
"97",22,4616449313420.4,2148592.40281176,2e+06,5000,12
"98",23,4517981602362.71,2125554.4223479,2e+06,5000,10
"99",24,4265855060258.99,2065394.65000251,2e+06,2500,12
"100",25,4383853039663.09,2093765.27807276,2e+06,2500,10
