"","mse","rmse","ntree_opt_para","mtry_opt_para"
"1",4302217243615.59,2074178.69134161,500,80
"2",4516753031523.34,2125265.40260819,600,64
"3",3873560870684.52,1968136.39534574,900,80
"4",4200224295445.52,2049444.87494675,600,80
"5",4463681337971.52,2112742.61044064,900,80
"6",4790116118931.6,2188633.39071019,900,80
"7",4393957625967.99,2096176.90712592,900,80
"8",4926637317388.38,2219602.96390782,600,80
"9",4079779584569.06,2019846.42598616,900,80
"10",4706899924705.56,2169539.10421213,500,80
"11",4436718427161.75,1126127.8863965,600,64
"12",4346723991594.94,1136707.61575022,900,80
"13",4925275919783.87,1211270.26443876,500,80
"14",4482520481649.23,1168782.29160283,500,48
"15",4213453120926.18,1129134.26837998,600,80
"16",4358895062886.67,1180102.04572823,600,80
"17",4224337731177.11,1157632.80515427,900,80
"18",4155788138682.75,1138360.76608317,500,80
"19",4326792375349.79,1102337.23622779,600,80
"20",4483475431011.72,1136438.93762612,900,80
"21",4797916501493.71,1173077.3224893,900,80
"22",4500512530451.04,1147468.36424388,600,64
"23",3953042773368.3,1105490.33597497,900,80
"24",4201319007087.06,1118104.70646293,600,64
"25",5032613572729.81,1178301.7586195,500,80
"26",4431284259902.58,1142212.01899291,900,80
"27",4193199389546.49,1109576.54266131,600,64
"28",4024229334254.33,1109003.67691772,500,80
"29",4486531936169.36,1129735.48863844,900,80
"30",4325174198537.67,1127301.11185643,900,80
"31",3532175836594.9,1057829.32751672,900,80
"32",4822352099201.86,1193303.12394418,500,80
"33",4503158786287.44,1122698.9092671,900,64
"34",4842648153320.19,1211240.80410612,600,64
"35",4180499721658.53,1139073.68988955,900,80
"36",4350376499215.37,1127297.18683139,500,80
"37",4720382862716.41,1146732.94938763,900,80
"38",4670850741310.18,1161266.9171576,500,80
"39",3903818115671.67,1092305.06415071,900,80
"40",4314188687408.52,1127858.61510309,900,80
"41",4551122982399.09,1147524.18915727,500,80
"42",4277496468628.22,1101031.05895432,900,80
"43",4187285041000.51,1144456.7857411,900,80
"44",4056259498904.16,1119997.18422997,600,80
"45",4346427924106.58,1134254.5585097,600,80
"46",4286559421948.23,1150750.86528885,900,64
"47",4146163893064.85,1118534.28704674,900,80
"48",4892793167047.72,1193342.40237694,600,64
"49",3970001411721.49,1090236.51885129,900,80
"50",3945198304847.64,1087663.7930895,600,80
"51",4234507793068.09,1140408.28824817,500,64
"52",4262824401338.98,1145792.31793946,500,80
"53",5033182452213.86,1148138.98078713,900,80
"54",3732315415805.3,1082444.6129201,500,80
"55",4972696828834,1197311.40892006,900,80
"56",4387473663506.86,1132079.82353124,900,80
"57",3883439865036.49,1106757.20411286,500,80
"58",4291600653568.85,1143438.96147533,900,80
"59",4718656617419.37,1169182.46964557,500,80
"60",4457039589197.13,1134314.88221176,600,80
"61",4739092041007.98,1174638.64647213,900,80
"62",4429966533019.53,1113862.78593169,500,80
"63",4845266627051.76,1164784.81401963,900,80
"64",4065321964708.17,1097264.23179078,600,80
"65",4150137594831.19,1102412.0956008,500,80
"66",4103218318704.64,1085763.43002631,900,80
"67",4536446161048.32,1165802.02002226,600,80
"68",4413451189951.6,1141872.36892414,900,80
"69",4016932016865.71,1107288.62627405,600,80
"70",4874126775915.91,1179681.97715286,600,80
"71",4312609762617.51,1138427.15303924,900,80
"72",4694973698304.33,1176036.60053006,900,80
"73",4124967471234.37,1134790.05123058,500,80
"74",4442531261841.64,1161927.481449,500,80
"75",5094168617528.73,1212756.59679524,600,80
"76",4808471451568.47,1165168.14935081,600,80
"77",4225462765125.43,1156170.55916734,900,64
"78",4324683111370.22,1134331.32468954,900,80
"79",4705694338091.71,1159683.27028532,500,80
"80",4407668419602.96,1134181.33246667,600,80
"81",4755943815828.88,1185889.89396598,900,80
"82",4996852640353.12,1178828.4940871,500,80
"83",4467882617279,1166134.10440387,600,80
"84",4894568352687.22,1179461.92732235,500,80
"85",4485634344850.62,1120089.82254787,500,80
"86",4040684872340.05,1104025.15291195,900,80
"87",3877833704511.42,1068193.35527401,600,80
"88",4075490217467.81,1107911.13653914,500,80
"89",4135628341438.17,1144480.93776844,900,80
"90",5054269196319.87,1183975.66466287,600,80
"91",4448658271979.35,1102408.46789005,500,80
"92",4461703350856.11,1126460.2721619,500,64
"93",3919537661823.89,1089441.55463047,500,80
"94",4544268176243.29,1187202.93984152,600,80
"95",4919253532638.25,1170931.54216588,900,80
"96",4313447015967.58,1151186.65433095,600,80
"97",4535168204325.39,1191671.93121056,600,80
"98",4329524459395.94,1123022.00860499,900,80
"99",4007606087851.06,1099233.00549005,500,64
"100",4259593842383.46,1143578.72727969,500,64
